Local Language,English,Translated_English
يظهر البنك العربي ش.م.ع. كمرسل إليه و مقدم الطلب كمخطر، وتظهر أجور الشحن,,"Showing Arab Bank plc as consignee and the applicant as notify, and showing freight charges"
مدفوع مسبقا,,Prepaid
على المستلم,,Freight collect
شهادة منشأ,,Certificate of Origin
صادرة عن غرفة التجارة / الصناعة / المصنعين / المستفيد / المنتج او المصدر على نموذج مستقل وتصرح بان البضائع من منشأ,,Issued by the Chamber of Commerce / Industry / Manufacturers / the Beneficiary / the Producer or the Exporter on a separate form and declaring that the goods are of origin
ويظهر عليها اسم وعنوان المصنعين / المنتجين،,,"and showing thereon the name and address of the manufacturer(s) / producer(s),"
مصدقة على نحو كامل من غرفة تجارة عربية أجنبية مشتركة في بلدة التصدير في حال وجودها وبخلاف ذلك من غرفة تجارة/صناعة محلية,,"duly attested by an Arab-Foreign Joint Chamber of Commerce in the town of export, if available, otherwise by a local Chamber of Commerce / Industry"
مصادق عليها من السفارة / القنصلية,,legalized by the embassy / consulate
في حال وجودها في موقع المستفيد,,if present at the Beneficiary’s location
مصدقة على نحو كامل من المجلس الصيني لترويج التجارة الدولية,,duly certified by the China Council for the Promotion of International Trade
بيان تعبئة,,Packing list
يظهر,,showing
شهادة وزن منفصلة تبين الوزن الاجمالي والوزن الصافي للبضاعة المشحونة,,Separate weight certificate showing the gross weight and the net weight of the goods shipped
بوليصة / شهادة تأمين,,Insurance policy / certificate
صادرة بشكل قابل لنقل الملكية بقيمة الفاتورة مضافا عليها,,issued in negotiable form for the invoice value plus
بالمئة وتظهر المطالبات واجبة الدفع في,,percent and showing claims payable in
لامر البنك العربي ش م ع وبغض النظر عن النسبة مع ذكر اسم وعنوان وكيل او ممثل شركة التامين في دولة طالب الاصدار ، وتظهر ان القسط مدفوع وتغطي الاخطار التالية : من المستودع الى المستودع النهائي,,"to the order of Arab Bank plc, regardless of the percentage, stating the name and address of the agent or representative of the insurance company in the Applicant’s country, showing that the premium is paid, and covering the following risks: from warehouse to final warehouse"
شروط مجمع مكتتبي التامين على البضائع,,Institute Cargo Clauses
شروط مجمع مكتتبي التامين على البضائع – الجو,,Institute Cargo Clauses – Air
جميع المخاطر (شرط العبور البري),,All Risks (Inland Transit Clause)
شروط الحرب والاضراب واعمال الشغب والتمرد المدني,,"War and Strikes, Riots and Civil Commotions Clauses"
التامين على البضائع مغطى محليا,,Cargo insurance covered locally
من خلال:,,Through:
رصيد قيمة المستندات,,Document amount balance
رصيد المستندات المؤجلة (عملة المستندات),,Deferred documents balance (document currency)
رصيد المدين المستندي/ الحركة (العميل),,Documentary debtor balance / transactions (customer)
قيمة اعتماد التصدير,,Export letter of credit amount
طالب الاصدار/ لحساب (نفسه),,Applicant / for the account of (self)
اسم وعنوان البنك الوسيط,,Name and address of the intermediary bank
تاريخ اشعار الاستلام,,Date of receipt advice
عملة القيمة الاضافية,,Additional amount currency
القيم الاضافية المغطاة,,Covered additional amounts
شروط إضافية أخرى,,Other additional terms
تعليمات العميل الاضافية,,Additional customer instructions
الشروط الاضافية - مضافة من المستخدم,,Additional terms - added by user
مصاريف البنك المقدم الاضافية,,Additional presenting bank charges
يرجى الموافقشروط إضافيةالشروط اعلاه والاقرار بالموافقة على الشروط العامة لفتح الاعتمادات المستندية.,,Please approve the above additional terms and acknowledge acceptance of the general terms and conditions for opening documentary credits.
شروط إضافية,,Additional terms
رمز دولة البنك المبلغ,,Advising bank country code
اسم دولة البنك المبلغ,,Advising bank country name
الرمز التعريفي للبنك المبلغ,,Advising bank identification code
اسم وعنوان البنك المبلغ,,Name and address of the advising bank
رمز السويفت,,SWIFT code
قيمة الاعتماد دفعة مقدمة+اطلاع (عملة الاعتماد),,"LC amount, advance payment + at sight (LC currency)"
قيمة الاعتماد دفعة مقدمة+اطلاع مع نسبة التفاوت (عملة الاعتماد),,"LC amount, advance payment + at sight with tolerance percentage (LC currency)"
رقم مرجع تبليغ اعتماد التصدير,,Export LC advice reference number
الرمز التعريفي للبنك المبلغ من خلاله,,Advising bank identification code
نوع الاشعار,,Advice type
تعديل مقبول مكفول,,"Amendment accepted, confirmed"
عمولات الوكيل الاول (عملة السحب),,First agent’s commissions (draft currency)
اسم وعنوان الوكيل الاول,,Name and address of the first agent
عمولات الوكيل الثاني (عملة السحب),,Second agent’s commissions (draft currency)
اسم وعنوان الوكيل الثاني,,Name and address of the second agent
قيمة السحب المعدله,,Amended drawing amount
تاريخ التعديل,,Amendment date
تاريخ طلب التعديل,,Amendment request date
رقم مرجع التعديل,,Amendment reference number
نوع التعديل,,Amendment type
عنوان طالب الاصدار,,Applicant address
تبليغ طالب الاصدار بواسطة,,Applicant advised via
اسم الدولة,,Country name
تاريخ الطلب,,Application date
رمز الفرع / حساب العميل,,Branch code / Customer account
اسم طالب الاصدار,,Applicant name
متاح بـواسطة,,Available by
الرمز التعريفي للبنك المتاح معه,,Identifier code of the bank available with
"بنك المستفيد  (A,D)",,"Beneficiary bank (A, D)"
اسم وعنوان بنك المستفيد,,Name and address of beneficiary's bank
رمز السويفت,,SWIFT code
رمز دولة المستفيد,,Beneficiary country code
اسم دولة المستفيد,,Beneficiary country name
رقم حساب المستفيد,,Beneficiary account number
اسم المستفيد,,Beneficiary name
اسم وعنوان المستفيد,,Beneficiary name and address
رقم مرجع البنك المبلغ,,Advising bank reference number
تاريخ بوليصة الشحن البحري/الجوي,,Date of bill of lading/air waybill
رقم بوليصة الشحن البحري/الجوي,,Bill of lading/air waybill number
تاريخ بوليصة الشحن,,Date of bill of lading
رقم بوليصة الشحن,,Bill of lading number
رمز الفرع / حساب العميل,,Branch code / Customer account
اسم الفرع,,Branch name
رقم حساب طالب الاصدار,,Applicant's account number
حساب المصاريف,,Charges account
تفاصيل المصاريف,,Charges details
المصاريف مدفوعة بواسطة,,Charges paid by
المصاريف المتوجب اضافتها,,Charges to be added
المصاريف الواجب اقتطاعها,,Charges to be deducted
بوليصة شحن بحري خاصة بسفن مستأجرة,,Charter Party Bill of Lading
قيمة المطالبة (سحوبات),,Claim amount (drawings)
دولة المقصد,,Country of destination
حساب العمولات,,Commission account
اسم و عنوان البنك المعزز,,Name and address of the confirming bank
رمز السويفت للبنك المعزز,,SWIFT code of the confirming bank
رسوم التعزيز على,,Confirmation charges on
تعليمات التعزيز,,Confirmation instructions
رسوم البنك المراسل  والعمولات على,,Correspondent bank charges and commissions on
وسيلة المراسلة البنك المبلغ,,Means of communication to the advising bank
قيمة الاعتماد المؤجل مع نسبة التفاوت (عملة التغطية),,Deferred letter of credit amount with tolerance (cover currency)
قيمة الاعتماد دفعة مقدمة+اطلاع مع نسبة التفاوت (عملة التغطية),,Advance + sight letter of credit amount with tolerance (cover currency)
عملة التغطية,,Cover currency
قيمة الاعتماد مع نسبة التفاوت بعملة التغطية,,Letter of credit amount with tolerance in cover currency
اعتماد الضمان متاح من خلال,,Standby letter of credit available through
الوضع الحالي,,Current status
حساب التامينات,,Margin account
رقم الحساب الذي ستقيد عليه المصاريف,,Account number to which the expenses will be posted
حساب المصاريف,,Expense account
الرقم الفرعي لحساب العميل للمصاريف,,Customer expense sub-account number
القيمة المقيدة بعملة حساب العميل,,Amount posted in the customer’s account currency
تعليمات العميل / المستندات الإضافية المطلوبة,,Customer instructions / additional documents required
تعليمات العميل الاضافية,,Additional customer instructions
عمولة الاصدار (العميل),,Issuance commission (customer)
اجمالي مصاريف الاتصالات ( عملة العميل محلية ),,Total communication charges (customer’s local currency)
رقم مرجعنا,,Our reference number
طريقة تسديد العميل,,Customer settlement method
اجمالي مصاريف الاتصالات ( العميل ),,Total communication charges (customer)
اجمالي التكلفة على العميل (عملة العميل),,Total cost to the customer (customer’s currency)
اجمالي التكلفة (عملة العميل المحلية),,Total cost (customer’s local currency)
تاريخ حق العميل,,Customer value date
عكس تعهدات الاطلاع بعملة التغطية,,Reversal of sight undertakings in the cover currency
تخفيض القيمة بـمبلغ,,Reduce the value by
القيمة الاجمالية المؤجلة الدفع,,Total deferred payment amount
قيمة الاعتماد المؤجل مع نسبة التفاوت (عملة الاعتماد),,Deferred L/C amount with tolerance (L/C currency)
آجال الدفعة المؤجلة/التداول,,Tenor of deferred payment/negotiation
قيمة الاعتماد الدوار مع نسبة التفاوت بعملة التغطيه (مؤجل),,Revolving LC amount with tolerance in cover currency (deferred)
رمز دولة المقصد,,Destination country code
اسم دولة المقصد,,Destination country name
مكان وصول البضائع,,Place of arrival of goods
ميناء التفريغ,,Port of discharge
القرار,,Decision
مؤشر المخالفات,,Discrepancy indicator
تفاصيل المخالفات,,Discrepancy details
المخالفات المكتشفة,,Detected discrepancies
تاريخ تبليغ المخالفات,,Date of discrepancy notification
إن مسودة الاعتماد المستندي أولية وغير ملزمة للبنك العربي ش. م. ع، ويتم تقديمها حصراً لأغراض الاطلاع والمراجعة بناءً على طلب العملاء. الشروط والأحكام المذكورة في هذه المسودة قابلة للتعديل، ولن يترتب على البنك العربي ش. م. ع نتيجة عن إصدارها أي مسؤولية أو التزام قانوني لإصدار الاعتماد المستندي.,,"The documentary credit draft is preliminary and non-binding on Arab Bank plc and is provided solely for information and review purposes at customers’ request. The terms and conditions stated in this draft are subject to change, and Arab Bank plc shall bear no responsibility or legal obligation to issue the documentary credit as a result of issuing this draft."
قيمة المستندات (عملة المستندات),,Documents amount (documents currency)
عملة المستندات,,Documents currency
تاريخ التقديم,,Presentation date
القرار بخصوص المستندات,,Decision regarding the documents
التصرف بالمستندات,,Disposition of documents
المستندات المطلوبة,,Required documents
المستندات المطلوب تقديمها,,Documents to be presented
حالة المستندات,,Documents status
قيمة السحب,,Draft amount
قيمة تخفيض السحب,,Draft reduction amount
قيمة زيادة السحب,,Draft increase amount
عملة السحب,,Draft currency
تاريخ استحقاق السحب,,Draft maturity date
اصل السحب,,Original draft
رقم مرجع السحب,,Draft reference number
السحب بعد,,Drawn after
رقم مرجع التداول,,Negotiation reference number
رقم التداول,,Negotiation number
رقم حساب المسحوب عليه,,Drawee account number
اسم المسحوب عليه,,Drawee name
تاريخ الاستحقاق,,Maturity date
تاريخ انتهاء اعتماد التصدير,,Export L/C expiry date
تاريخ الانتهاء,,Expiry date
تاريخ انتهاء الاعتماد,,L/C expiry date
مكان الانتهاء,,Place of expiry
الاجمالي ( المطالب به + التأمينات )التامينات / التسديد,,Total (amount claimed + securities) Securities/Settlement
حساب الجهة الصادر باسمها,,Account of the entity in whose name it is issued
نموذج الاعتماد,,L/C template
تقديم المستندات بواسطة,,Presentation of documents by
مصاريف الشحن,,Freight charges
مصاريف الشحن مدفوعة لغاية,,Freight prepaid up to
تغطية مقدمة,,Advance cover
تقديم المستندات بواسطة,,Presentation of documents by
وصف البضائع,,Description of goods
اسم البضائع,,Name of goods
زيادة القيمة بـمبلغ,,Increase the value by the amount of
شروط التسليم,,Delivery terms
مكان شرط التسليم,,Delivery terms location
تعليمات شروط التسليم,,Delivery terms instructions
تاريخ انتهاء بوليصة التأمين,,Insurance policy expiry date
رقم بوليصة التأمين,,Insurance policy number
حالة التأمين,,Insurance status
التعليمات الى البنك الدافع/المبلغ/المتداول,,Instructions to the paying/advising/negotiating bank
قيمة الفائدة (السحب),,Interest amount (draft)
نسبة الفائدة,,Interest rate
تاريخ الاصدار,,Issue date
آخر تداول؟,,Last negotiation?
تاريخ آخر دفعة,,Date of last payment
قيمة الاعتماد,,LC amount
قيمة الدفعة المؤجلة,,Deferred payment amount
قيمة الاعتماد مؤجل (عملة الاعتماد),,Deferred LC amount (LC currency)
قيمة الاطلاع,,Sight amount
قيمة الاعتماد اطلاع (عملة الاعتماد),,Sight LC amount (LC currency)
اجمالى التزامات العميل القائمة تجاه البنك,,Total outstanding obligations of the customer to the bank
عملة الاعتماد,,LC currency
رقم الاعتماد,,LC number
رقم الاعتماد,,LC number
نوع الاعتماد,,LC type
قيمة الاعتماد دفعة مقدمة+اطلاع مع نسبة التفاوت (عملة محلية),,LC amount (advance payment + sight) with tolerance (local currency)
مصاريف التعديل (عملة الاعتماد),,Amendment charges (LC currency)
عمولات التعديل (عملة الاعتماد),,Amendment commissions (LC currency)
اجمالي العمولات المستوفاة من العميل ( عملة محلية ),,Total commissions collected from the customer (local currency)
قيمة الاعتماد المؤجل مع نسبة التفاوت (عملة محلية),,Deferred LC amount with tolerance (local currency)
اجمالي مصاريف الاتصالات ( عملة محلية ),,Total communication charges (local currency)
شحن البضائع من,,Shipment of goods from
ميناء التحميل,,Port of loading
مصاريف العمولات الاجمالية (المحلية),,Total commission charges (local)
اخر تاريخ للشحن,,Latest date of shipment
وسيلة النقل,,Mode of transport
العلاقة بين وسائل النقل,,Relationship between modes of transport
وسيلة النقل الاولى,,First mode of transport
وسيلة النقل الثانية,,Second mode of transport
نوع تعديل التامينات,,Type of collateral amendment
عملة حساب تامينات العميل,,Currency of the customer's collateral account
تفاصيل الدفعات المختلطة,,Mixed payment details
تفاصيل الدفعات المختلطة الاضافية,,Additional mixed payment details
تفاصيل الدفعات المختلطة/المؤجلة,,Mixed/Deferred payment details
الدفعات المختلطة,,Mixed payments
عملة حساب تامينات العميل,,Currency of the customer's collateral account
عملة التامينات,,Collateral currency
الرقم الفرعي لحساب تامينات العميل,,Sub-account number of the customer's collateral account
سحب متعدد,,Multiple drawings
نسبة التفاوت السالبة,,Negative tolerance percentage
اسم وعنوان البنك المتداول,,Name and address of the negotiating bank
رقم مرجع البنك المتداول,,Negotiating bank reference number
تاريخ الاستحقاق الجديد,,New maturity date
قيمة الاعتماد الجديدة,,New L/C amount
نسبة التفاوت الجديدة,,New tolerance percentage
رقم التعديل,,Amendment number
عدد الايام,,Number of days
عدد مجموعات المستندات,,Number of document sets
رقم التداول,,Negotiation number
عدد مرات السحب,,Number of drawings
عدد الدورات بدون الدورة الاولى,,Number of cycles excluding the first cycle
ملاحظات,,Remarks
الحالة التالية,,Next status
رمز دولة المنشأ الاولى,,First country of origin code
رمز دولة المنشأ الثانية,,Second country of origin code
اسم دولة المنشأ الاولى,,First country of origin name
اسم دولة المنشأ الثانية,,Second country of origin name
قيمة الاعتماد الاصلية مؤجل,,Original LC amount - usance
منشأ البضاعة الاول,,First origin of goods
منشأ البضاعة الثاني,,Second origin of goods
قيمة الاعتماد الاصلية اطلاع,,Original LC amount - sight
التعديلات الاخرى,,Other amendments
القيمة المقيدة سحوبات مقبولة مكفولة مدفوعة,,"Posted amount of accepted, avalized, and paid drafts"
السحب الجزئي,,Partial drawing
الشحن الجزئي,,Partial shipment
القيمة,,Amount
قيمة الاطلاع بدون نسبة التفاوت,,Sight amount without tolerance percentage
القيمة,,Amount
القيمة المؤجله بدون نسبة التفاوت,,Deferred amount without tolerance percentage
القيمة,,Amount
القيمة,,Amount
القيمة,,Amount
القيمة,,Amount
القيمة الاجمالية,,Total amount
نسبة,,Percentage
نسبة,,Percentage
نسبة,,Percentage
نسبة,,Percentage
نسبة,,Percentage
نسبة,,Percentage
تفاصيل الدفعات,,Payment details
مؤشر الدفع,,Payment indicator
شروط الدفع,,Payment terms
طريقة التسديد,,Settlement method
نسبة التفاوت الموجبة/السالبة,,Positive/negative tolerance percentage
نسبة التفاوت الموجبة,,Positive tolerance percentage
قيمة التقديم,,Presentation amount
رصيد التقديم,,Presentation balance
عكس تعهدات الاطلاع بعملة التغطية,,Reverse sight undertakings in cover currency
مصاريف البنك المقدم,,Presenting bank charges
عملة التقديم,,Presentation currency
عدد ايام التقديم,,Number of presentation days
حدث فترة التقديم,,Presentation period event
فترة التقديم,,Presentation period
تفاصيل خطاب الاعتماد السابقة,,Previous letter of credit details
الرقم الاساسي لحساب تامينات العميل,,Basic number for the customer collateral account
قيد القيمة الاساسية على حساب,,Post the base amount to the account
فيما يتعلق  (الغرض من اعتماد الضمان),,Regarding (purpose of guarantee approval)
تاريخ الاستلام,,Receipt date
سبب الرفض,,Reason for rejection
مصاريف البنك المغطي,,Covering bank charges
رسوم البنك المغطي على,,Covering bank fees on
حالة الحركة لدى البنك,,Transaction status at the bank
نوع الاعتماد الدوار,,Type of revolving letter of credit
نوع الدفع,,Type of payment
نوع الدفع,,Type of payment
نوع الدفع,,Type of payment
نوع الدفع,,Type of payment
نوع الدفع,,Type of payment
نوع الدفع,,Type of payment
رقم مرجع كفالة التخليص على البضائع/اذن التسليم,,Reference number of customs clearance guarantee/delivery order
قيمة تعديل الاعتماد اطلاع (عملة الاعتماد),,Amendment amount for sight LC (LC currency)
القيمة الاجمالية اطلاع مع نسبة التفاوت,,Total sight amount with tolerance percentage
تاريخ الشحن,,Shipment date
فترة الشحن,,Shipment period
اطلاع,,At sight
تعليمات خاصة,,Special instructions
حساب التسديد,,Settlement account
رسالة السويفت,,SWIFT message
شروط,,Conditions
المدة ايام /نوع,,Tenor days/type
المدة ايام,,Tenor days
المدة ايام,,Tenor days
المدة ايام,,Tenor days
المدة ايام,,Tenor days
المدة ايام,,Tenor (days)
المدة ايام,,Tenor (days)
يرجى الموافقه على الشروط بإختيار اشاره الصح في المربع أدناه .,,Please agree to the terms by ticking the checkbox below.
يرجى الموافقة على الشروط الإضافية اعلاه والاقرار بالموافقة على الشروط العامة لفتح الاعتمادات المستندية.,,Please agree to the additional terms above and acknowledge acceptance of the general terms for opening letters of credit.
الخدمة خاضعة للرسوم,,The service is subject to fees.
السحب بعد,,Draw after
قبول/تعديل/حذف مسودة لاعتماد استيراد (صادر),,Accept/Amend/Delete Draft for Import LC (Outgoing)
تغيير وسيلة الشحن,,Change mode of transport
تغيير وسيلة الشحن في,,Change mode of transport in
تفاصيل نسبة التفاوت الموجبة/السالبة,,Details of positive/negative tolerance percentage
عبور / منطقة حرة,,Transit / Free Zone
تاريخ الحركة,,Transaction date
مصاريف طالب الاصدار الاجمالية ( المصاريف),,Applicant's total charges (Charges)
مصاريف طالب الاصدار الاجمالية ( عملة المستندات ),,Applicant's total charges (Document Currency)
اجمالي المصاريف المطلوبة من طالب الاصدار (عملة المستندات),,Total charges required from the Applicant (Document Currency)
القيمة الاجمالية الواجب دفعها (التسديد),,Total amount payable (Settlement)
الاجمالي ( المطالب به + التأمينات ) المستندات,,Total (amount claimed + margins) documents
الاجمالي ( المقيد على الحساب + المصاريف ) عملة المستندات,,Total (debited to the account + charges) Document Currency
اجمالى التزامات العميل القائمة تجاه البنك,,Total outstanding obligations of the customer to the bank
قيمة الاعتماد مع نسبة التفاوت بالعملة االمحلية,,LC amount including tolerance in local currency
اجمالي السحوبات القائمة,,Total outstanding drawings
القيمة الاجمالية,,Total amount
القيمة الاجمالية القابلة للدفع,,Total amount payable
شهادة الباخرة,,Vessel certificate
شهادة الباخرة تظهر,,The vessel certificate shows
اسم الباخرة,,Name of the vessel
مصاريف الشحن,,Freight charges
مصاريف الشحن مدفوعة لغاية,,Freight charges paid up to
الاول,,First
الثاني,,Second
الثالث,,Third
الرابع,,Fourth
الخامس,,Fifth
السادس,,Sixth
اسم وعنوان البنك المبلغ من خلاله,,Name and address of the advising bank
طالب الاصدار,,Applicant
اسم وعنوان البنك المتاح معه,,Name and address of the bank with which available
المستفيد,,Beneficiary
بنك المستفيد,,Beneficiary's bank
المستندات المطلوبة,,Documents required
اسم وعنوان الجهة الصادر باسمها,,Name and address of the party in whose name it is issued
الجهة الصادر باسمها,,Party in whose name it is issued
اسم وعنوان شركة التامين,,Name and address of the insurance company
هل الجهة التي سيصدر باسمها الاعتماد هي نفس طالب الاصدار ؟,,Is the party in whose name the LC will be issued the same as the applicant?
قيمة تعديل الاعتماد زيادة,,LC amendment amount – Increase
ادخل اسم الفرع,,Enter branch name
قيمة الفائدة (عملة المصاريف),,Interest amount (charges currency)
قيمة الفائدة (العميل),,Interest amount (customer)
لا,,No
نعم,,Yes
قيمة الدفعة المقدمة على الاعتماد (عملة الاعتماد),,Advance payment amount under the LC (LC currency)
قيمة تعديل الاعتماد (عملة الاعتماد),,LC amendment amount (LC currency)
قيمة تعديل الاعتماد مؤجل (عملة الاعتماد),,LC amendment amount – Usance (LC currency)
قيمة قيد تعديل الاعتماد مؤجل,,LC amendment posting amount – Usance
قيمة قيد تعديل الاعتماد اطلاع,,LC amendment posting amount – Sight
قيمة الاعتماد الدوار مع نسبة التفاوت بعملة التغطيه (دفعة مقدمة+اطلاع),,Revolving LC amount with tolerance percentage in cover currency (Advance payment + Sight)
قيمة الاعتماد الدوار مع نسبة التفاوت بعملة التغطيه (مؤجل),,Revolving LC amount with tolerance percentage in cover currency (Usance)
قيمة الاعتماد مؤجل,,Usance LC amount
قيمة الاعتماد اطلاع,,Sight LC amount
رصيد الاعتماد المؤجل,,Usance LC balance
قيمة تعهدات الاعتماد الاصلية,,Value of original LC commitments
رصيد الاعتماد اطلاع,,Sight LC balance
عكس تعهدات الاطلاع (عملة الاعتماد),,Reversal of sight commitments (LC currency)
اعادة التامينات (عملة التامينات),,Return of margin (margin currency)
اعادة التامينات (عملة التسديد),,Return of margin (settlement currency)
قيمة تامينات الاطلاع (عملة المستندات),,Value of sight margin (document currency)
قيمة تامينات الاطلاع (عملة التامينات),,Value of sight margin (margin currency)
تعديل قيمة التامينات (عملة التامينات),,Adjustment of margin value (margin currency)
تعديل قيمة التامينات (عملة التامينات),,Adjustment of margin value (margin currency)
تعديل قيمة التامينات (عملة تامينات العميل),,Adjustment of margin value (customer margin currency)
التامينات الفرعية,,Sub-margins
الرقم الاساسي لحساب تامينات العميل,,Base number of the customer's margin account
صافي القيمة الواجب دفعها (عملة المستندات),,Net amount payable (document currency)
رقم السحب,,Drawing number
عدد مرات السحب,,Number of drawings
عدد الشهور,,Number of months
عدد كفالات التخليص واذونات التسليم القائمة,,Number of outstanding customs clearance guarantees and delivery orders
قيمة كفالة التخليص/ اذن التسليم,,Value of customs clearance guarantee/delivery order
اجمالي مصاريف الاتصالات ( العميل ),,Total communication charges (customer)
اجمالي التداولات القائمة,,Total outstanding transactions
اجمالي السحوبات القائمة,,Total outstanding drawings
اجمالي المدين المستندي,,Total documentary debit
اجمالي قيمة كفالات التخليص/اذونات التسليم القائمة,,Total value of outstanding customs clearance guarantees/delivery orders
شحنه / انتهاء,,Shipment / Expiry
رقم مرجعنا,,Our reference number
رقم الاعتماد,,L/C number
الوضع الحالي,,Current status
رقم الاعتماد,,L/C number
اسم طالب الاصدار,,Applicant name
رقم مرجع التداول,,Transaction reference number
اسم طالب الاصدار,,Applicant name
رقم الاعتماد,,L/C number
رقم مرجع التداول,,Transaction reference number
رقم مرجعنا,,Our reference number
عملة الاعتماد,,L/C currency
قيمة الاعتماد,,L/C amount
تاريخ الانتهاء,,Expiry date
رقم الاعتماد,,L/C number
اسم المستفيد,,Beneficiary name
رقم مرجعنا,,Our reference number
عملة التقديم,,Application Currency
قيمة التقديم,,Application Amount
رقم مرجع التداول,,Trade Reference Number
اسم طالب الاصدار,,Applicant Name
رقم مرجعنا,,Our Reference Number
اسم طالب الاصدار,,Applicant Name
اسم المستفيد,,Beneficiary Name
رقم مرجعنا,,Our Reference Number
اسم طالب الاصدار,,Applicant Name
رقم الاعتماد,,LC Number
رقم مرجعنا,,Our Reference Number
اسم طالب الاصدار,,Applicant Name
رقم مرجعنا,,Our Reference Number
رقم الاعتماد,,LC Number
رقم مرجعنا,,Our Reference Number
رقم الاعتماد,,LC Number
حالة الحركة,,Transaction Status
رقم مرجعنا,,Our Reference Number
الوضع الحالي,,Current Status
رقم الاعتماد,,LC Number
اسم طالب الاصدار,,Applicant name
وضع الحركة المعاد,,Status of returned transaction
رقم مرجعنا,,Our reference number
اجمالى التزامات العميل القائمة تجاه البنك,,Total outstanding customer obligations to the bank
تاريخ الانتهاء,,Expiry date
الوضع الحالي,,Current status
ا س تح قاق ,,Maturity
حالة الحركة لدى البنك,,Transaction status at the bank
اسم المستفيد,,Beneficiary name
صدر ,,Issued
تاريخ الاصدار,,Issue date
رقم الاعتماد,,LC number
اسم طالب الاصدار,,Applicant name
رقم مرجعنا,,Our reference number
قيمة السحب,,Drawing amount
القائم,,Outstanding
حتى,,Until
الرقم المرجعي للسحب,,Drawing reference number
تاريخ استحقاق السحب,,Drawing maturity date
خطأ .,,Error.
 د,,D
عرض المبلغ,,Show amount
تفاصيل التعديل,,Amendment details
نص الكفالة,,Guarantee text
رئيسي,,Main
جهات الاعتماد,,Approving parties
قبول او رفض,,Accept or reject
رقم التبليغ,,Advice number
رقم مرجع الكفالة المقابلة,,Counter-guarantee reference number
الاشعارات,,Notifications
تفاصيل التعديل,,Amendment details
تاريخ التعديل,,Amendment date
عنوان البنك,,Bank address
اسم البنك,,Bank name
العنوان,,Address
رمز دولة المستفيد,,Beneficiary country code
اسم المستفيد,,Beneficiary name
التزام البنك,,Bank undertaking
عملة وقيمة المطالبة,,Claim currency and amount
تفاصيل المطالبة,,Claim details
الحساب,,Account
رمز الفرع / حساب العميل,,Branch code / Customer account
تعليمات العميل / المستندات الإضافية المطلوبة,,Customer instructions / Additional documents required
تخفيض القيمة بـمبلغ,,Decrease the amount by
انشئت بواسطة,,Created by
تاريخ الانتهاء,,Expiry date
مكان الانتهاء,,Place of expiry
نوع الانتهاء,,Expiry type
رصيد الكفالة,,Guarantee balance
عملة ومبلغ الكفالة,,Guarantee currency and amount
رقم الكفالة,,Guarantee number
نص الكفالة,,Guarantee text
زيادة القيمة بـمبلغ,,Increase the amount by
طبيعة المطالبة,,Nature of claim
تاريخ الاستحقاق الجديد,,New maturity date
قيمة الكفالة الجديدة,,New guarantee amount
رقم التعديل,,Amendment number
رقم المطالبة,,Claim number
نوع الدفع / مطالبة,,Payment/Claim type
غرض الكفالة,,Purpose of guarantee
تاريخ الاستلام,,Receipt date
سبب الرفض,,Rejection reason
رسالة السويفت,,SWIFT message
تاريخ الاصدار,,Issue date
تفاصيل التعديل,,Amendment details
طالب الاصدار,,Applicant
المستفيد,,Beneficiary
تفاصيل الالتزام,,Undertaking details
رقم مرجع الكفالة المقابلة,,Counter-guarantee reference number
رقم التعديل,,Amendment number
تاريخ التعديل,,Amendment date
رقم الكفالة,,Guarantee number
اسم طالب الاصدار,,Applicant name
رقم الكفالة,,Guarantee number
قيمة الكفالة,,Guarantee amount
اسم طالب الاصدار,,Applicant name
عملة الكفالة,,Guarantee currency
رقم مرجع الكفالة المقابلة,,Counter-guarantee reference number
رقم الكفالة,,Guarantee number
قيمة الكفالة,,Guarantee amount
رصيد الكفالة,,Guarantee balance
تاريخ الانتهاء,,Expiry date
الوضع الحالي,,Current status
اسم طالب الاصدار,,Applicant name
عملة الكفالة,,Guarantee currency
نسبة التفاوت للمطالبات لبوليصة او شهادة التامين,,Insurance policy/certificate claims tolerance percentage
حقل قابل للدفع في,,Payable-at field
رئيسي,,Principal
الرمز التعريفي لفرع  طالب الاصدار,,Applicant branch identifier code
رقم المراسلة,,Correspondence number
رقم الخبر,,Advice number
الرساله موجهة الى,,Message addressed to
تاريخ انشاء الرسالة,,Message creation date
تاريخ الاجابة/المتابعة,,Reply/follow-up date
لجميع المستخدمين,,For all users
وصف الرسالة,,Message description
تاريخ الرسالة,,Message date
الاجابة الى,,Reply to
عنوان الرساله,,Message subject
اسم المنتج,,Product name
تاريخ الرسالة السابقة,,Previous message date
وصف الرسالة السابقة,,Previous message description
رقم المرجع المعني,,Related reference number
رقم مرجع البنك المعني,,Related bank reference number
الموضوع,,Subject
الاجابة/المتابعة,,Reply/Follow-up
رقم المراسلة,,Correspondence number
عنوان الموضوع,,Subject heading
عنوان الرساله,,Message title
رقم المرجع المعني,,Related reference number
اسم المنتج,,Product name
عنوان الرساله,,Message title
رقم الخبر,,Notice number
الموضوع,,Subject
العنوان,,Title
رقم المرجع,,Reference number
الفرع / رمز العميل,,Branch / Customer code
وصف,,Description
قيمة الفائدة,,Interest amount
عملة تسديد قيمة الفائدة,,Currency for settling the interest amount
سعر الفائدة,,Interest rate
تاريخ الاصدار,,Issue date
